BehaviorSpace results (NetLogo 5.3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modelo-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2016 11:29:37:493 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18,18,-18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],nTicks,taxa_bonus,taxa_alimentos,energia_alimentos,energia_inicial_ags,qnt_ag_sociais,qnt_ag_solitarios,SempAvanc?,ComLider?,Agrupar?,taxa_perda_ganho,SeguirLider?,alcance_ags,[step],count solitarios,count sociais,count lideres,nSolMortos,nSocMortos,nLidMortos,(tmp_vida_solitarios / (qnt_ag_solitarios - nSol2Soc)),(tmp_vida_sociais / (qnt_ag_sociais + nLid2Soc + nSol2Soc - nSoc2Lid)),(tmp_vida_lideres / nSoc2Lid),nSol2Soc,nSoc2Lid,nLid2Soc,nAfastamentos,(nAfastamentos / ticks),nContatos,(nContatos / ticks),nLidContatos,(nLidContatos / ticks)
69,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",401,0,0,0,32,98,2,146375,101.18367346938776,24,1,2,0,600,1.4962593516209477,2156,5.376558603491272,4,0.00997506234413965
70,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",373,0,0,0,31,101,0,134.29032258064515,110.22772277227723,0,2,0,0,563,1.5093833780160857,2236,5.994638069705094,0,0
71,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",325,0,0,0,30,100,2,126.2,104.22,28,3,2,0,605,1.8615384615384616,2155,6.630769230769231,4,0.012307692307692308
72,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",381,0,0,0,30,101,1,137.8,107.6930693069307,110,3,1,0,691,1.8136482939632546,2290,6.010498687664042,11,0.028871391076115485
73,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",379,0,0,0,33,97,2,129,100.04123711340206,68.5,0,2,0,555,1.4643799472295516,2246,5.926121372031663,22,0.05804749340369393
74,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,32,98,1,144.13737373737376,99.90816326530613,87,0,1,0,682,1364,2198,4396,15,0.03
75,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",350,0,0,0,33,99,0,124.84848484848484,102.02020202020202,0,0,0,0,595,1.7,2166,6.188571428571429,0,0
76,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",469,0,0,0,33,98,1,137.57575757575756,103.60204081632654,88,0,1,0,593,1.2643923240938166,1994,4.251599147121535,8,0.017057569296375266
77,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",500,1,0,0,28,102,1,134.65172413793104,106.5,50,4,1,0,584,1168,2152,4304,9,18
78,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",404,0,0,0,33,99,0,133.12121212121212,107.07070707070707,0,0,0,0,673,1.6658415841584158,2155,5.334158415841584,0,0
79,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",340,0,0,0,33,98,1,119.66666666666667,112.38775510204081,217,0,1,0,640,1.8823529411764706,2365,6.955882352941177,26,0.07647058823529412
80,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",428,0,0,0,32,99,1,139.96875,109.15151515151516,269,1,1,0,611,1.4275700934579438,1932,4.514018691588785,58,0.13551401869158877
81,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",350,0,0,0,32,99,1,129.96875,106.48484848484848,116,1,1,0,631,1.802857142857143,2086,5.96,19,0.054285714285714284
82,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",458,0,0,0,31,101,0,137.41935483870967,104.45544554455445,0,2,0,0,526,1.148471615720524,2129,4.648471615720524,0,0
83,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",321,0,0,0,33,96,3,140.8181818181818,107.80208333333333,26,0,3,0,671,2.0903426791277258,1921,5.984423676012461,11,0.03426791277258567
84,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",400,0,0,0,31,100,1,128.51612903225808,110.1,192,2,1,0,508,1.27,2127,5.3175,27,0.0675
85,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",332,0,0,0,32,99,1,133.34375,106.88888888888889,31,1,1,0,634,1.9096385542168675,1999,6.021084337349397,3,0.009036144578313253
86,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",372,0,0,0,33,97,2,149.21212121212122,104.97938144329896,32,0,2,0,707,1.9005376344086022,2191,5.889784946236559,12,0.03225806451612903
87,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",424,0,0,0,33,97,2,136.3030303030303,92.78350515463917,102,0,2,0,577,1.3608490566037736,1881,4.436320754716981,4,0.009433962264150943
88,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",475,0,0,0,32,99,1,132.1875,106.20202020202021,330,1,1,0,593,1.2484210526315789,2208,4.648421052631579,51,0.10736842105263159
89,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",393,0,0,0,32,98,2,151.65625,103.65306122448979,140.5,1,2,0,600,1.5267175572519085,2141,5.447837150127226,35,0.089058524173028
90,500,0,15,50,50,99,33,false,true,false,"""normal""",false,"""normal""",426,0,0,0,32,99,1,124.78125,112.02020202020202,81,1,1,0,520,1.2206572769953052,2145,5.035211267605634,12,0.028169014084507043
91,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",250,0,0,0,94,103,1,71.97872340425532,89.12621359223301,102,5,1,0,1520,6.08,2416,9664,0,0
92,500,0,15,50,50,99,99,false,true,false,"""normal""",false,"""normal""",386,0,0,0,93,104,1,77.54838709677419,81.4326923076923,13,6,1,0,1615,4.183937823834197,2460,6.373056994818653,0,0
